frac_comun,radio_comu,mza_comuna,clado,hn,hp,hd,sgm_mza,rank,segmento
1,1,1,2,3355,1,2,1,1,1
1,1,1,3,5866,1,,1,2,1
1,1,1,3,5804,1,,1,3,1
1,1,2,2,3403,1,,1,1,2
1,1,2,2,3405,1,,1,2,2
1,1,2,2,3439,1,,1,3,2
1,1,2,3,5932,1,,1,4,2
1,1,3,1,5552,3,,1,1,3
1,1,3,3,5565,4,,1,2,3
1,1,3,3,5565,4,,1,2,3
1,1,3,3,5565,4,,1,2,3
1,1,3,3,5565,3,,1,5,3
1,1,3,3,5565,3,,1,5,3
1,1,3,3,5565,3,,1,5,3
1,1,3,3,5565,2,,1,8,3
1,1,3,3,5565,2,,1,8,3
1,1,3,3,5565,2,,1,8,3
1,1,3,3,5565,1,,1,11,3
1,1,3,3,5565,1,,1,11,3
1,1,3,3,5565,1,,1,11,3
1,1,3,3,5579,3,,1,14,3
1,1,3,3,5579,2,,1,15,3
1,1,3,3,5579,1,,1,16,3
1,1,3,3,5595,3,,1,17,3
1,1,3,3,5595,3,,1,17,3
1,1,3,3,5595,2,,1,19,3
1,1,3,3,5595,2,,1,19,3
1,1,3,3,5595,1,,1,21,3
1,1,3,3,5595,1,,1,21,3
1,1,4,1,5486,1,8,1,1,4
1,1,4,4,3846,2,,1,2,4
1,1,4,4,3340,0,2,1,3,4
1,1,4,4,3340,0,3,1,3,4
1,1,5,1,5316,8,,1,1,5
1,1,5,1,5316,8,,1,1,5
1,1,5,1,5316,8,,1,1,5
1,1,5,1,5316,7,,1,4,5
1,1,5,1,5316,7,,1,4,5
1,1,5,1,5316,7,,1,4,5
1,1,5,1,5316,6,,1,7,5
1,1,5,1,5316,6,,1,7,5
1,1,5,1,5316,6,,1,7,5
1,1,5,1,5316,5,,1,10,5
1,1,5,1,5316,5,,1,10,5
1,1,5,1,5316,5,,1,10,5
1,1,5,1,5316,4,,1,13,5
1,1,5,1,5316,4,,1,13,5
1,1,5,1,5316,4,,1,13,5
1,1,5,1,5316,3,,1,16,5
1,1,5,1,5316,3,,1,16,5
1,1,5,1,5316,3,,1,16,5
1,1,5,1,5316,2,,1,19,5
1,1,5,1,5316,2,,1,19,5
1,1,5,1,5316,2,,1,19,5
1,1,5,1,5316,1,,1,22,5
1,1,5,1,5316,1,,1,22,5
1,1,5,1,5316,1,,1,22,5
1,1,5,4,3374,1,1,1,25,5
1,1,5,4,3374,1,2,1,25,5
1,1,7,1,5496,0,,1,1,6
1,1,7,1,5478,0,,1,2,6
1,1,7,1,5412,0,,1,3,6
1,1,7,2,3417,0,,1,4,6
1,1,7,2,3419,0,1,1,5,6
1,1,7,2,3419,0,2,1,5,6
1,1,7,2,3429,1,8,1,7,6
1,1,7,2,3429,1,9,1,7,6
1,1,7,2,3429,1,10,1,7,6
1,1,7,2,3429,1,11,1,7,6
1,1,7,2,3429,1,12,1,7,6
1,1,7,2,3469,0,,1,12,6
1,1,7,2,3469,0,,1,12,6
1,1,7,2,3469,0,,1,12,6
1,1,7,4,3448,0,,1,15,6
1,1,7,4,3436,0,3,1,16,6
1,1,7,4,3436,0,4,1,16,6
1,2,13,2,3635,2,,1,1,1
1,2,13,2,3635,1,,1,2,1
1,2,13,3,5353,1,,1,3,1
1,2,16,3,7465,1,,1,1,2
1,2,17,1,5250,0,,1,1,3
1,2,17,2,3671,2,,1,2,3
1,2,17,2,3671,2,,1,2,3
1,2,17,2,3671,1,,1,4,3
1,2,17,2,3671,1,,1,4,3
1,2,17,2,3677,2,,1,6,3
1,2,17,2,3677,1,,1,7,3
1,2,18,2,3631,3,,1,1,4
1,2,18,2,3641,1,,1,2,4
1,2,18,3,5249,1,,1,3,4
1,2,18,3,5249,0,,1,4,4
1,2,18,3,5249,0,,1,4,4
1,2,18,3,5257,0,,1,6,4
1,2,18,4,3628,0,,1,7,4
1,2,29,3,5119,2,,1,1,5
1,2,29,3,5119,1,,1,2,5
